Company,TypeName,Disp_size,IPS_Panel,Touch_Screen,Processor,RAM_GB,SSD_Disk,HDD_Disk,HybridFlash_Disk,GPU_company,Op_Sys,Weight_kg,Price_INR,PPI,SSD_storage,HDD_storage,Other_storage
MSI,Gaming,17.3,0,0,Intel ,16,1,1,0,Nvidia,Windows,2.43,130483,1086,256,2048,0
Asus,Notebook,15.6,0,0,Intel ,4,1,0,0,Intel,Linux,2,22111,1087,256,0,0
Dell,Notebook,17.3,0,0,Intel ,16,1,1,0,AMD,Windows,2.8,69211,1086,256,2048,0
Dell,Ultrabook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.7,46833,1089,256,0,0
Lenovo,Notebook,14,1,0,Intel ,8,1,0,0,Intel,No OS,1.7,31915,1089,256,0,0
Asus,Notebook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.4,50136,1089,256,0,0
HP,Notebook,15.6,0,0,Intel ,8,1,0,0,Intel,Windows,1.86,36763,1087,256,0,0
Asus,Ultrabook,15.6,0,0,Intel ,16,1,0,0,Nvidia,Windows,1.8,105654,1087,512,0,0
HP,Notebook,15.6,0,0,Intel ,4,0,1,0,AMD,Windows,1.86,23373,773,0,500,0
HP,Notebook,14,0,0,Intel ,4,1,0,0,Intel,Windows,1.44,12201,774,32,0,0
Lenovo,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,1.9,29251,1087,0,0,0
Asus,Gaming,17.3,0,0,Intel ,12,0,1,0,Nvidia,Linux,3,50563,1086,0,0,0
Microsoft,Ultrabook,13.5,0,1,Intel ,4,1,0,0,Intel,Windows,1.252,58022,1513,128,0,0
Dell,Ultrabook,13.3,1,0,Intel ,8,1,0,0,AMD,Windows,1.4,50882,1090,256,0,0
Dell,Notebook,15.6,0,0,Intel ,8,1,0,0,AMD,Windows,2.2,46354,1087,256,0,0
MSI,Gaming,17.3,0,0,Intel ,8,1,1,0,Nvidia,Windows,2.7,58342,1086,128,1024,0
Acer,Notebook,14,0,0,Intel ,8,0,1,0,Intel,Windows,2.1,20726,774,0,0,0
Asus,Gaming,15.6,0,0,Intel ,8,0,1,0,Nvidia,Windows,2.2,50563,1087,0,0,0
Lenovo,Notebook,15.6,0,0,Intel ,8,0,1,0,Intel,No OS,2.2,27652,1087,0,0,0
Dell,Notebook,15.6,0,0,Intel ,8,1,1,0,Intel,Windows,2.02,45554,1087,128,1024,0
Acer,Notebook,15.6,0,0,Intel ,4,0,1,0,Nvidia,Windows,2.2,28238,1087,0,0,0
HP,Notebook,17.3,0,0,Intel ,8,1,1,0,Nvidia,Windows,2.5,52055,1086,128,1024,0
Dell,Ultrabook,15.6,1,0,Intel ,8,1,0,0,Intel,Windows,1.88,58403,1087,256,0,0
Apple,Ultrabook,12,1,0,Intel ,8,1,0,0,Intel,macOS,0.92,80453,1453,512,0,0
HP,Notebook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.63,45821,1089,256,0,0
Lenovo,Notebook,15.6,0,0,AMD ,4,1,0,0,AMD,Windows,2.2,21259,1087,128,0,0
Acer,Notebook,15.6,0,0,AMD ,4,0,1,0,AMD,Windows,2.1,21046,773,0,0,0
Dell,Gaming,15.6,1,0,Intel ,16,1,1,0,Nvidia,Windows,2.65,71875,1087,128,1024,0
HP,Ultrabook,15.6,1,0,Intel ,8,1,0,0,Nvidia,Windows,1.83,37243,1087,256,0,0
HP,Notebook,15.6,0,0,Intel ,8,1,0,0,Intel,Windows,1.96,31914,1087,256,0,0
Asus,Gaming,15.6,1,0,Intel ,16,1,1,0,Nvidia,Windows,2.2,77203,1087,128,1024,0
Dell,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Intel,Windows,1.21,87859,1090,256,0,0
Asus,Gaming,15.6,0,0,AMD ,8,0,1,0,AMD,Windows,2.45,37243,1087,0,0,0
Acer,Notebook,15.6,0,0,Intel ,8,0,1,0,Nvidia,Windows,2.2,36710,1087,0,0,0
HP,Notebook,13.3,0,0,Intel ,16,1,0,0,Intel,Windows,1.49,63776,1090,512,0,0
Dell,Gaming,15.6,0,0,Intel ,8,1,0,0,Nvidia,Windows,2.65,63670,1087,256,0,0
Asus,Ultrabook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.25,55891,1089,256,0,0
Acer,2 in 1 Convertible,13.3,1,1,Intel ,8,1,0,0,Intel,Windows,1.5,45128,1090,256,0,0
Dell,Notebook,15.6,0,0,Intel ,8,0,1,0,AMD,Linux,2.2,31963,1087,0,0,0
Dell,Notebook,15.6,0,0,Intel ,4,1,0,0,AMD,Linux,2.2,25841,1087,256,0,0
Asus,Notebook,15.6,0,0,Intel ,6,1,0,0,Nvidia,Windows,2,30743,1087,256,0,0
HP,Gaming,15.6,1,0,Intel ,12,1,1,0,Nvidia,Windows,2.62,66547,1087,128,1024,0
HP,Notebook,15.6,0,0,Intel ,8,1,0,0,AMD,Windows,1.91,38308,1087,256,0,0
HP,Notebook,15.6,0,0,AMD ,4,0,1,0,AMD,Windows,2.1,18595,1087,0,500,0
Dell,Notebook,15.6,0,0,Intel ,8,0,1,0,AMD,Linux,2.2,34472,1087,0,0,0
HP,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Nvidia,Windows,1.38,59620,1090,256,0,0
Microsoft,Ultrabook,13.5,0,1,Intel ,8,1,0,0,Intel,Windows,1.252,71395,1513,256,0,0
HP,Notebook,14,1,0,Intel ,6,1,0,0,Nvidia,Windows,1.58,35112,1089,256,0,0
Lenovo,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,1.85,22106,1087,0,0,0
Asus,Ultrabook,14,1,0,Intel ,8,1,0,0,Nvidia,Windows,1.3,63563,1089,256,0,0
MSI,Gaming,15.6,0,0,Intel ,16,1,1,0,Nvidia,Windows,2.2,69211,1087,256,1024,0
Lenovo,Notebook,14,1,0,Intel ,8,1,0,0,Intel,Windows,1.58,78854,1089,256,0,0
Asus,Ultrabook,15.6,0,0,Intel ,16,1,1,0,Nvidia,Windows,1.5,67239,1087,256,1024,0
Dell,Ultrabook,13.3,0,1,Intel ,8,1,0,0,Intel,Windows,1.23,73473,1816,256,0,0
Lenovo,2 in 1 Convertible,13.3,1,1,Intel ,8,1,0,0,Intel,Windows,1.37,74539,1090,256,0,0
HP,Notebook,14,1,0,Intel ,4,0,1,0,Intel,Windows,1.63,38468,774,0,500,0
Dell,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Intel,Windows,1.21,86793,1090,256,0,0
HP,2 in 1 Convertible,13.3,1,1,Intel ,8,1,0,0,Intel,Windows,1.26,74538,1090,256,0,0
HP,Notebook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.63,57756,1089,512,0,0
Dell,Notebook,15.6,1,0,Intel ,8,1,1,0,Nvidia,Windows,2.16,60224,1087,256,1024,0
Asus,Notebook,17.3,0,0,Intel ,4,0,1,0,Nvidia,Windows,2,30050,1086,0,0,0
Asus,Notebook,15.6,0,0,Intel ,8,1,0,0,Nvidia,Windows,1.7,59567,1087,256,0,0
Acer,Notebook,15.6,1,1,Intel ,6,0,1,0,Intel,Windows,2.1,25521,1087,0,0,0
MSI,Gaming,15.6,0,0,Intel ,16,1,1,0,Nvidia,Windows,1.8,119427,1087,256,2048,0
Lenovo,Notebook,15.6,0,0,Intel ,8,1,0,0,Nvidia,No OS,2.2,33513,1087,256,0,0
HP,Notebook,17.3,0,0,Intel ,16,1,0,0,Nvidia,Windows,2.5,67719,1086,512,0,0
Acer,Notebook,15.6,0,0,AMD ,4,1,0,0,AMD,Windows,2.1,24029,773,256,0,0
HP,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,No OS,1.86,13800,773,0,500,0
HP,Notebook,14,0,0,Intel ,8,0,1,0,Intel,Windows,1.63,43263,1089,0,0,0
Asus,Notebook,14,0,0,AMD ,4,1,0,0,AMD,Windows,1.65,14811,774,64,0,0
Dell,Notebook,17.3,0,0,Intel ,16,1,1,0,AMD,Windows,2.8,74379,1086,256,2048,0
HP,Notebook,17.3,0,0,Intel ,8,1,0,0,Intel,Windows,2.5,49444,1086,256,0,0
Dell,Notebook,15.6,0,0,Intel ,8,0,1,0,AMD,Windows,2.36,34045,773,0,0,0
Dell,Notebook,15.6,0,0,Intel ,4,0,1,0,AMD,Windows,2.2,23923,1087,0,0,0
Acer,Ultrabook,14,1,0,Intel ,8,1,0,0,Intel,Windows,1.6,47100,1089,256,0,0
Acer,Notebook,15.6,0,0,Intel ,4,1,0,0,Nvidia,Windows,2.2,30476,1087,256,0,0
HP,Notebook,15.6,0,0,Intel ,8,0,1,0,Intel,Windows,2.05,31861,773,0,0,0
HP,Notebook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.63,52641,1089,256,0,0
Lenovo,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,No OS,1.9,13446,773,0,0,0
Asus,Gaming,17.3,0,0,Intel ,8,1,1,0,Nvidia,Windows,3,49977,1086,128,1024,0
Lenovo,Notebook,15.6,0,0,Intel ,4,0,1,0,Nvidia,No OS,2.2,26587,1087,0,0,0
HP,Notebook,13.3,1,0,Intel ,4,1,0,0,Intel,Windows,1.32,37243,1090,256,0,0
Acer,Notebook,17.3,1,0,Intel ,4,0,1,0,Nvidia,Windows,3,34898,1086,0,0,0
Lenovo,Notebook,14,1,0,Intel ,8,1,0,0,AMD,Windows,1.75,59462,1089,256,0,0
Lenovo,Gaming,15.6,1,0,Intel ,8,1,0,0,Nvidia,No OS,2.4,46300,1087,256,0,0
Toshiba,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2.1,32075,773,0,500,0
HP,Notebook,15.6,0,0,AMD ,4,1,0,0,AMD,Windows,1.86,19660,773,256,0,0
Asus,Ultrabook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.25,58555,1089,256,0,0
HP,Ultrabook,12.5,1,1,Intel ,8,1,0,0,Intel,Windows,0.97,107306,2182,512,0,0
Asus,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2,18328,1087,0,0,0
MSI,Gaming,17.3,0,0,Intel ,16,1,1,0,Nvidia,Windows,2.9,108105,1086,256,1024,0
Acer,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2.1,23816,773,0,0,0
Dell,Gaming,15.6,0,0,Intel ,16,1,0,0,Nvidia,Windows,2.56,66561,1087,512,0,0
Dell,Gaming,15.6,0,0,Intel ,8,0,0,1,Nvidia,Windows,2.62,47899,1087,0,0,0
Lenovo,Notebook,15.6,0,0,Intel ,4,1,0,0,Intel,Windows,1.9,26533,773,128,0,0
MSI,Gaming,17.3,0,0,Intel ,16,1,1,0,Nvidia,Windows,2.8,100699,1086,256,1024,0
HP,Ultrabook,14,0,0,Intel ,4,1,0,0,Intel,Windows,1.48,57649,1089,256,0,0
HP,Notebook,15.6,0,0,Intel ,6,1,0,0,AMD,Windows,1.91,32980,1087,256,0,0
Lenovo,2 in 1 Convertible,14,1,1,Intel ,4,1,0,0,Intel,Windows,1.74,33513,1089,256,0,0
Asus,2 in 1 Convertible,13.3,0,1,Intel ,8,1,0,0,Intel,Windows,1.1,70063,1090,256,0,0
Dell,2 in 1 Convertible,15.6,0,1,Intel ,8,1,0,0,Intel,Windows,1.56,55891,1087,256,0,0
Toshiba,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2.1,23816,773,0,500,0
Asus,Notebook,15.6,0,0,AMD ,4,0,1,0,AMD,Windows,2.03,21472,773,0,0,0
Acer,Notebook,17.3,1,0,Intel ,4,1,0,0,Nvidia,Windows,3,42890,1086,256,0,0
Dell,Notebook,15.6,0,0,Intel ,8,1,0,0,AMD,Windows,2.13,38788,1087,256,0,0
Lenovo,Gaming,15.6,1,0,Intel ,16,1,0,0,Nvidia,Windows,2.5,57489,1087,256,0,0
Acer,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2.1,18541,773,0,0,0
MSI,Gaming,15.6,1,0,Intel ,16,1,1,0,Nvidia,Windows,2.4,95851,1087,256,1024,0
Acer,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2.1,19368,773,0,0,0
Dell,Gaming,15.6,0,0,Intel ,8,1,1,0,Nvidia,Windows,2.56,56503,1087,128,1024,0
Acer,Notebook,17.3,1,0,Intel ,8,1,0,0,Nvidia,Windows,3,45501,1086,256,0,0
HP,Notebook,13.3,1,0,Intel ,4,0,1,0,Intel,Windows,1.49,40173,1090,0,500,0
Huawei,Ultrabook,13,1,0,Intel ,8,1,0,0,Intel,Windows,1.05,71875,1450,256,0,0
HP,Notebook,17.3,1,0,Intel ,6,0,1,0,AMD,Windows,2.71,37243,1086,0,0,0
Lenovo,Notebook,15.6,0,0,AMD ,4,0,1,0,AMD,No OS,2.2,16464,773,0,500,0
Toshiba,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2,26054,773,0,500,0
HP,Notebook,17.3,0,0,Intel ,8,1,0,0,Nvidia,Windows,2.5,49177,1086,256,0,0
Dell,Notebook,15.6,0,0,Intel ,8,0,1,0,Intel,Windows,2.3,24456,773,0,0,0
Acer,Notebook,15.6,0,0,Intel ,4,1,0,0,Intel,Windows,2.1,23923,773,128,0,0
MSI,Gaming,18.4,0,0,Intel ,32,1,1,0,Nvidia,Windows,4.4,149131,1085,512,1024,0
Lenovo,Notebook,15.6,0,0,Intel ,8,1,1,0,AMD,Windows,1.9,43317,1087,128,1024,0
HP,2 in 1 Convertible,13.3,1,1,Intel ,8,1,0,0,Intel,Windows,1.29,79867,2179,256,0,0
Dell,Notebook,15.6,0,0,Intel ,16,1,1,0,AMD,Linux,2.02,55891,1087,256,2048,0
Dell,Ultrabook,13.3,0,0,Intel ,8,1,0,0,Intel,Windows,1.23,74539,1090,256,0,0
Lenovo,2 in 1 Convertible,13.9,1,1,Intel ,16,1,0,0,Intel,Windows,1.4,98515,2178,512,0,0
Toshiba,Notebook,15.6,0,0,Intel ,8,1,0,0,Intel,Windows,2,42251,773,128,0,0
Xiaomi,Notebook,15.6,1,0,Intel ,8,1,0,0,Nvidia,No OS,1.95,63883,1087,256,0,0
Dell,Notebook,17.3,0,1,Intel ,16,1,0,0,Nvidia,Windows,2.77,82531,1086,512,0,0
Dell,Notebook,15.6,0,1,Intel ,16,1,0,0,Nvidia,Windows,2.06,127712,2174,512,0,0
Lenovo,Gaming,15.6,1,0,Intel ,8,1,0,0,Nvidia,No OS,2.4,41505,1087,256,0,0
Acer,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Intel,Windows,1.12,52694,1090,256,0,0
Dell,Notebook,17.3,0,0,Intel ,8,1,1,0,AMD,Windows,2.8,57809,1086,128,1024,0
Lenovo,2 in 1 Convertible,14,0,1,Intel ,16,1,0,0,Intel,Windows,1.42,150463,1452,0,0,0
Vero,Notebook,14,1,0,Intel ,4,0,0,1,Intel,Windows,1.3,13853,1089,0,0,32
Xiaomi,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Nvidia,No OS,1.3,53275,1090,256,0,0
Lenovo,Notebook,17.3,0,0,Intel ,8,1,0,0,Nvidia,No OS,2.8,37189,905,256,0,0
Dell,2 in 1 Convertible,13.3,1,1,Intel ,8,0,1,0,Intel,Windows,1.62,44702,1090,0,0,0
HP,Notebook,17.3,1,0,Intel ,8,0,1,0,Nvidia,Windows,2.5,48698,1086,0,0,0
Razer,Gaming,17.3,0,1,Intel ,32,1,0,0,Nvidia,Windows,3.49,324955,2171,0,0,0
HP,Notebook,13.3,0,0,Intel ,8,1,0,0,Intel,Windows,1.49,51096,1090,512,0,0
HP,Gaming,17.3,1,0,Intel ,16,1,1,0,Nvidia,Windows,3.35,73473,1086,256,1024,0
HP,Notebook,17.3,0,0,Intel ,8,1,0,0,Nvidia,Windows,2.5,55678,1086,256,0,0
Dell,Gaming,15.6,1,0,Intel ,16,1,1,0,Nvidia,Windows,2.65,98302,2174,512,1024,0
Lenovo,Notebook,15.6,0,0,Intel ,4,1,0,0,Intel,Windows,2.1,26267,773,128,0,0
Acer,Notebook,15.6,0,0,Intel ,8,0,1,0,Nvidia,Windows,2.23,39534,1087,0,0,0
Lenovo,Gaming,15.6,1,0,Intel ,16,1,1,0,Nvidia,Windows,3.2,93187,1087,512,1024,0
Dell,Workstation,15.6,0,0,Intel ,16,1,1,0,Nvidia,Windows,2.8,162770,2174,256,1024,0
Lenovo,Gaming,15.6,0,0,Intel ,16,1,0,0,Nvidia,No OS,2.4,74485,1087,512,0,0
Dell,Notebook,15.6,0,1,Intel ,6,0,1,0,Intel,Windows,2.3,23390,773,0,0,0
Dell,Ultrabook,13.3,1,1,Intel ,8,1,0,0,Intel,Windows,1.21,103843,2179,256,0,0
Dell,Ultrabook,13.3,0,0,Intel ,8,1,0,0,Intel,Windows,1.2,77203,1090,256,0,0
Lenovo,Notebook,15.6,0,0,Intel ,8,1,0,0,Intel,Windows,2.2,31808,773,256,0,0
Acer,Notebook,15.6,0,0,Intel ,8,0,1,0,Nvidia,Linux,2.4,41505,1087,0,0,0
Asus,Gaming,17.3,0,0,Intel ,16,1,1,0,Nvidia,Windows,2.9,74965,1086,256,1024,0
HP,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,No OS,2.1,18595,1087,0,500,0
Lenovo,Notebook,15.6,0,0,Intel ,8,1,0,0,Intel,No OS,2.2,29251,1087,256,0,0
Huawei,Ultrabook,13,1,0,Intel ,8,1,0,0,Intel,Windows,1.05,79867,1450,512,0,0
Dell,Ultrabook,13.3,1,0,Intel ,8,1,0,0,AMD,Windows,1.4,49651,1090,256,0,0
Lenovo,Notebook,17.3,0,0,Intel ,8,0,1,0,Nvidia,No OS,2.8,31382,905,0,0,0
HP,Notebook,14,0,0,Intel ,8,1,0,0,Nvidia,Windows,1.63,54932,1089,256,0,0
Dell,Ultrabook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.6,61219,1089,256,0,0
Dell,2 in 1 Convertible,13.3,0,1,Intel ,16,1,0,0,Intel,Windows,1.62,68145,1090,512,0,0
Dell,Notebook,15.6,0,0,Intel ,8,1,0,0,AMD,Linux,2.2,36089,1087,256,0,0
Lenovo,2 in 1 Convertible,14,1,0,Intel ,8,1,0,0,Intel,Windows,1.74,47899,1089,256,0,0
Toshiba,Ultrabook,13.3,0,0,Intel ,8,1,0,0,Intel,Windows,1.2,72621,1090,256,0,0
HP,Notebook,15.6,0,0,Intel ,8,0,1,0,Intel,Windows,2.1,42304,1087,0,0,0
Dell,Gaming,17.3,1,0,Intel ,16,1,1,0,Nvidia,Windows,4.42,130874,1086,256,1024,0
Acer,Notebook,15.6,0,0,Intel ,8,1,0,0,Nvidia,Windows,2.2,44329,1087,256,0,0
Dell,Notebook,15.6,0,1,Intel ,16,0,1,0,AMD,Windows,2.3,45768,1087,0,0,0
Asus,Notebook,15.6,0,0,Intel ,8,1,0,0,Nvidia,Windows,2,40972,1087,256,0,0
Asus,Notebook,17.3,0,0,Intel ,8,1,1,0,Nvidia,Windows,2.69,47472,1086,256,500,0
HP,Notebook,15.6,0,0,Intel ,8,0,1,0,AMD,Windows,1.9,67612,1087,0,0,0
Asus,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2.37,21258,773,0,0,0
HP,Notebook,15.6,0,0,AMD ,4,0,1,0,AMD,Windows,2.1,17582,773,0,500,0
Lenovo,Gaming,15.6,1,0,Intel ,16,1,1,0,Nvidia,Windows,3.2,79867,1087,256,1024,0
Dell,Notebook,14,0,0,Intel ,8,1,0,0,Intel,Windows,1.6,45768,1089,256,0,0
Acer,2 in 1 Convertible,13.3,1,1,Intel ,8,1,0,0,Intel,Windows,1.6,36710,1090,256,0,0
Dell,Notebook,15.6,0,0,Intel ,16,1,0,0,AMD,Linux,2.36,47899,1087,256,0,0
Acer,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Linux,2.1,20779,773,0,0,0
Asus,Notebook,15.6,0,0,AMD ,4,1,1,0,AMD,Windows,2.2,30636,1087,128,1024,0
Asus,Gaming,17.3,0,0,Intel ,32,1,1,0,Nvidia,Windows,4.7,207259,1086,512,1024,0
Acer,Gaming,15.6,1,0,Intel ,8,1,0,0,Nvidia,Windows,2.5,45075,1087,256,0,0
Lenovo,Notebook,15.6,0,0,Intel ,8,1,0,0,Intel,Windows,2.2,31382,773,128,0,0
Asus,Notebook,17.3,0,0,Intel ,8,1,1,0,Nvidia,Windows,2.1,61006,1086,128,1024,0
Asus,Notebook,17.3,0,0,Intel ,8,1,1,0,Nvidia,No OS,2.69,47366,1086,128,1024,0
Dell,Gaming,15.6,0,0,Intel ,8,1,0,0,Nvidia,Windows,2.56,46833,1087,256,0,0
Lenovo,2 in 1 Convertible,13.9,1,1,Intel ,8,1,0,0,Intel,Windows,1.38,57489,1089,256,0,0
Dell,Notebook,15.6,0,0,Intel ,8,1,1,0,AMD,Windows,2.2,52481,1087,128,2048,0
HP,Notebook,15.6,0,1,Intel ,8,0,1,0,Intel,Windows,2.04,29784,773,0,0,0
Asus,Gaming,17.3,0,0,Intel ,16,1,0,0,Nvidia,Windows,3.6,159787,1086,256,0,0
HP,Notebook,13.3,1,0,Intel ,4,0,1,0,Intel,Windows,1.49,35964,1090,0,500,0
